quantity,value,note
input_step_rows,514556.0,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
used_edep_steps,487380.0,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
events_with_edep,10000.0,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_fC_mean,1.120072203704209,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_fC_median,0.6339322193658936,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_fC_mpv_hist,0.5551401531233937,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_fC_p16,0.5031708957614897,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_fC_p84,0.9046507441652354,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
preirradiation_full_collection_charge_fC_mean,10.892913759021937,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
preirradiation_full_collection_charge_fC_median,6.145745345757396,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
preirradiation_full_collection_charge_fC_mpv_hist,5.210835428124117,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
preirradiation_full_collection_charge_fC_p16,4.864885555460732,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
preirradiation_full_collection_charge_fC_p84,8.775721765169484,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
effective_electron_multiplication_mean,9.691546348975274,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
effective_electron_multiplication_median,9.762457239425839,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
effective_electron_multiplication_mpv_hist,9.807342020566434,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
effective_electron_multiplication_p16,9.61114127610633,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
effective_electron_multiplication_p84,9.84995346455693,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_electron_induced_charge_fC_mean,0.5989429355528447,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_electron_induced_charge_fC_median,0.3109909245194205,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_electron_induced_charge_fC_mpv_hist,0.28090690260382645,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_electron_induced_charge_fC_p16,0.2443484277130136,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_electron_induced_charge_fC_p84,0.45019019402777893,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_hole_induced_charge_fC_mean,0.5211292681513643,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_hole_induced_charge_fC_median,0.3114555147209179,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_hole_induced_charge_fC_mpv_hist,0.27539814280917574,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_hole_induced_charge_fC_p16,0.2451891670818868,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_hole_induced_charge_fC_p84,0.45287068492040794,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_electron_active_drift_ps_mean,511.326592635155,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_electron_active_drift_ps_median,475.17766337276106,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_electron_active_drift_ps_mpv_hist,458.338699129358,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_electron_active_drift_ps_p16,403.8542211021102,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_electron_active_drift_ps_p84,579.7408671461307,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_hole_active_drift_ps_mean,301.90999162904143,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_hole_active_drift_ps_median,301.38095197837276,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_hole_active_drift_ps_mpv_hist,300.8310260955969,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_hole_active_drift_ps_p16,259.26750727673027,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_hole_active_drift_ps_p84,343.91168937778934,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
gain_charge_weighted_electron_active_drift_ps_mean,517.8783550802325,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
gain_charge_weighted_electron_active_drift_ps_median,480.59911364539266,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
gain_charge_weighted_electron_active_drift_ps_mpv_hist,463.97789403689603,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
gain_charge_weighted_electron_active_drift_ps_p16,409.16789578416564,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
gain_charge_weighted_electron_active_drift_ps_p84,587.5432609556943,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_electron_full_contact_drift_ps_mean,511.326592635155,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_electron_full_contact_drift_ps_median,475.17766337276106,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_electron_full_contact_drift_ps_mpv_hist,458.338699129358,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_electron_full_contact_drift_ps_p16,403.8542211021102,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_electron_full_contact_drift_ps_p84,579.7408671461307,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_hole_full_contact_drift_ps_mean,14247.163518468094,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_hole_full_contact_drift_ps_median,14307.961587445589,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_hole_full_contact_drift_ps_mpv_hist,14289.940433932543,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_hole_full_contact_drift_ps_p16,14139.801015109077,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
primary_charge_weighted_hole_full_contact_drift_ps_p84,14418.067303611222,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
max_electron_drift_ps_mean,5605.0012668089375,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
max_electron_drift_ps_median,5821.551514728952,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
max_electron_drift_ps_mpv_hist,5785.166817761896,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
max_electron_drift_ps_p16,5821.551514728952,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
max_electron_drift_ps_p84,5821.551514728952,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
max_hole_drift_ps_mean,624.8081070077704,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
max_hole_drift_ps_median,625.2434742317271,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
max_hole_drift_ps_mpv_hist,621.3357043283053,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
max_hole_drift_ps_p16,625.2434713887308,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
max_hole_drift_ps_p84,625.2434755489106,LGAD_V4_TCADBiasFieldResponse/outputs/data/runs/lgad_v4_response_mip_120gev_10000_20260618/step_hits.csv
tcad_temperature_K,300.0,V4.1 model configuration
tcad_anode_bias_V,-590.0,V4.1 model configuration
tcad_cathode_bias_V,0.0,V4.1 model configuration
tcad_avalanche_model,Okuto,V4.1 model configuration
radiation_state,treated_as_preirradiation_no_traps_in_evidence,V4.1 model configuration
velocity_model,tcad_effective_mobility_times_electric_field,V4.1 model configuration
electron_mobility_cm2_Vs,1350.0,V4.1 model configuration
hole_mobility_cm2_Vs,480.0,V4.1 model configuration
electron_saturation_velocity_cm_s,10700000.0,V4.1 model configuration
hole_saturation_velocity_cm_s,8370000.0,V4.1 model configuration
weighting_model,linear_parallel_plate_diagnostic,V4.1 model configuration
charge_model,no_trapping_full_collection_q_times_electron_multiplication,V4.1 model configuration
active_field_threshold_V_per_cm,1000.0,V4.1 model configuration
